Index,Date,Time,Counter,FbLoad,Lvdt1,Lvdt2,Force(kN),Potm,LVDT1,LVDT2,Total Strain (-),Strain Alum,Strain Machine,Chain,Stress [MPa],Deviatoric Stress [Mpa],Strain Ax. [%],Strain Ax [-],Strain Al. [%],Strain Al. [-],Strain Machine [%],Strain Machine [-],Strain Rad. [%],Strain Vol. [%],Gemidd,IFlow,Ipress [Mpa],IVol,FlowA,PressA,VolA,FlowB,PressB,VolB
0,44958.41915,0,58674332,2.596803,0.07788,0.072121,2.609285,1.525493,-0.923612,-0.929118,3.13214E-05,5.2734E-05,-2.14126E-05,19.912166,3.706204,0.706204,0.197818,0.00197818,0.001008863,0.000010089,0.196809137,0.001968091,0,0.197818,-0.926365,0.00894,3,5.5234,0,3,83.7154,0,-1.6,0
1,44958.41916,0.536413,58674332,2.484954,0.076495,0.070896,2.518312,1.525493,-0.924598,-0.930104,1.72357E-05,5.08955E-05,-3.36598E-05,19.912166,3.564925,0.564925,0.196329,0.00196329,0.000807036,0.00000807,0.195521964,0.00195522,0,0.196329,-0.927511,0.00894,3,5.5233,0,3,83.7154,0,-1.6,0
2,44958.41917,1.536413,58674333,2.51133,0.075956,0.070569,2.600989,1.524507,-0.924318,-0.929709,2.20571E-05,5.25664E-05,-3.05092E-05,19.912166,3.646783,0.646783,0.19653,0.0019653,0.000923976,0.00000924,0.195606024,0.00195606,0,0.19653,-0.92712,0.00929,3,5.5231,0,3,83.7154,0,-1.6,0
3,44958.41918,2.536413,58674334,2.896137,0.080354,0.074469,2.941313,1.528451,-0.920271,-0.92616,7.63143E-05,5.94444E-05,1.68699E-05,19.912166,4.190242,1.190242,0.202373,0.00202373,0.001700346,0.000017003,0.200672654,0.002006727,0,0.202373,-0.923176,0.00929,3,5.523,0,3,83.7154,0,-1.6,0
4,44958.41919,3.536413,58674335,2.429996,0.075499,0.070027,2.493995,1.523521,-0.925466,-0.930597,7.51429E-06,5.0404E-05,-4.28897E-05,19.912166,3.506862,0.506862,0.195287,0.00195287,0.000724089,0.000007241,0.194562911,0.001945629,0,0.195287,-0.928136,0.00929,3,5.5229,0,3,83.7154,0,-1.6,0
5,44958.4192,4.536413,58674336,2.755806,0.078982,0.073273,2.890141,1.527465,-0.921067,-0.926981,6.47643E-05,5.84102E-05,6.3541E-06,19.912166,4.058428,1.058428,0.200919,0.00200919,0.00151204,0.00001512,0.19940696,0.00199407,0,0.200919,-0.924101,0.00929,3,5.5227,0,3,83.7154,0,-1.6,0
6,44958.41921,5.536413,58674337,2.701969,0.079011,0.073219,2.676742,1.526479,-0.922758,-0.928395,4.25857E-05,5.40974E-05,-1.15116E-05,19.912166,3.824607,0.824607,0.199446,0.00199446,0.00117801,0.00001178,0.19826799,0.00198268,0,0.199446,-0.925403,0.00889,3,5.5226,0,3,83.7154,0,-1.6,0
7,44958.41923,6.536413,58674338,2.439641,0.075658,0.070328,2.50938,1.524507,-0.925261,-0.930663,8.50714E-06,5.07149E-05,-4.22078E-05,19.912166,3.526153,0.526153,0.195686,0.00195686,0.000751647,0.000007516,0.194934353,0.001949344,0,0.195686,-0.927795,0.00889,3,5.5224,0,3,83.7154,0,-1.6,0
8,44958.41924,7.536413,58674339,2.715322,0.078389,0.07276,2.839264,1.525493,-0.921675,-0.927113,5.94786E-05,5.7382E-05,2.09662E-06,19.912166,3.975652,0.975652,0.200194,0.00200194,0.001393789,0.000013938,0.198800211,0.001988002,0,0.200194,-0.924513,0.00938,3,5.5222,0,3,83.7154,0,-1.6,0
9,44958.41925,8.536413,58674340,2.768011,0.079559,0.073635,2.770769,1.526479,-0.921797,-0.927704,5.43857E-05,5.59977E-05,-1.61195E-06,19.912166,3.951351,0.951351,0.200444,0.00200444,0.001359073,0.000013591,0.199084927,0.001990849,0,0.200444,-0.924527,0.0092,3,5.5222,0,3,83.7154,0,-1.6,0
10,44958.41926,9.536413,58674341,2.484372,0.076463,0.070988,2.491967,1.525493,-0.925056,-0.930564,1.06786E-05,5.0363E-05,-3.96845E-05,19.912166,3.549071,0.549071,0.196136,0.00196136,0.000784387,0.000007844,0.195351613,0.001953516,0,0.196136,-0.927707,0.0092,3,5.522,0,3,83.7154,0,-1.6,0
11,44958.41927,10.536413,58674342,2.513495,0.075958,0.070664,2.628801,1.524507,-0.924016,-0.929118,2.84357E-05,5.31285E-05,-2.46928E-05,19.912166,3.67751,0.67751,0.197011,0.00197011,0.000967871,0.000009679,0.196043129,0.001960431,0,0.197011,-0.926907,0.00868,3,5.5218,0,3,83.7154,0,-1.6,0
12,44958.41928,11.536413,58674343,2.902064,0.080225,0.074397,2.944877,1.527465,-0.920384,-0.926324,7.43357E-05,5.95164E-05,1.48193E-05,19.912166,4.18176,1.18176,0.202201,0.00202201,0.001688229,0.000016882,0.200512771,0.002005128,0,0.202201,-0.923355,0.00862,3,5.5217,0,2.9,83.7154,0,-1.6,0
13,44958.41929,12.536413,58674344,2.53958,0.077072,0.071537,2.491204,1.524507,-0.924975,-0.930433,1.21929E-05,5.03476E-05,-3.81548E-05,19.912166,3.566449,0.566449,0.196272,0.00196272,0.000809213,0.000008092,0.195462787,0.001954628,0,0.196272,-0.927651,0.00851,3,5.5216,0,3,83.7154,0,-1.6,0
14,44958.41931,13.536413,58674345,2.63974,0.077294,0.072008,2.76913,1.525493,-0.922497,-0.927967,4.75071E-05,5.59645E-05,-8.45739E-06,19.912166,3.87262,0.87262,0.199097,0.00199097,0.0012466,0.000012466,0.1978504,0.001978504,0,0.199097,-0.92547,0.009,3,5.5214,0,3,83.7154,0,-1.6,0
15,44958.41932,14.536413,58674346,2.797724,0.079905,0.073914,2.819061,1.526479,-0.921132,-0.92708,6.35929E-05,5.69736E-05,6.61921E-06,19.912166,4.014565,1.014565,0.201258,0.00201258,0.001449379,0.000014494,0.199808621,0.001998086,0,0.201258,-0.924054,0.00848,3,5.5213,0,3,83.7154,0,-1.6,0
16,44958.41933,15.536413,58674347,2.406422,0.075171,0.069832,2.454436,1.523521,-0.925861,-0.931254,0,4.96045E-05,-4.96045E-05,19.912166,3.437342,0.437342,0.194624,0.00194624,0.000624774,0.000006248,0.193999226,0.001939992,0,0.194624,-0.928614,0.00883,3,5.5212,0,3,83.7154,0,-1.6,0
17,44958.41934,16.536413,58674348,2.838491,0.079744,0.073922,2.939875,1.526479,-0.9205,-0.92639,7.30357E-05,5.94153E-05,1.36204E-05,19.912166,4.146144,1.146144,0.201739,0.00201739,0.001637349,0.000016373,0.200101651,0.002001017,0,0.201739,-0.923499,0.00889,3,5.521,0,3,83.7154,0,-1.6,0
18,44958.41935,17.536413,58674349,2.540119,0.077454,0.071829,2.542942,1.525493,-0.924364,-0.929907,2.03143E-05,5.13932E-05,-3.1079E-05,19.912166,3.611361,0.611361,0.197025,0.00197025,0.000873373,0.000008734,0.196151627,0.001961516,0,0.197025,-0.927051,0.00822,3,5.5209,0,3,83.7154,0,-1.6,0
19,44958.41936,18.536413,58674350,2.551844,0.076543,0.071256,2.64266,1.525493,-0.923891,-0.928921,3.07357E-05,5.34086E-05,-2.26728E-05,19.912166,3.718197,0.718197,0.197363,0.00197363,0.001025996,0.00001026,0.196337004,0.00196337,0,0.197363,-0.926683,0.00912,3,5.5207,0,3,83.7154,0,-1.6,0
20,44958.41938,19.536413,58674351,2.746034,0.078967,0.07327,2.772612,1.526479,-0.921936,-0.927573,5.43286E-05,5.60349E-05,-1.70634E-06,19.912166,3.936745,0.936745,0.200011,0.00200011,0.001338207,0.000013382,0.198672793,0.001986728,0,0.200011,-0.924749,0.00909,3,5.5205,0,3,83.7154,0,-1.6,0
21,44958.41939,20.536413,58674352,2.550154,0.076924,0.071463,2.550201,1.525493,-0.924402,-0.929874,2.02786E-05,5.15399E-05,-3.12614E-05,19.912166,3.626471,0.626471,0.196867,0.00196867,0.000894959,0.00000895,0.195972041,0.00195972,0,0.196867,-0.927106,0.0088,3,5.5204,0,3,83.7154,0,-1.6,0
22,44958.4194,21.536413,58674353,2.499854,0.076013,0.070758,2.591107,1.524507,-0.924472,-0.929348,2.35357E-05,5.23667E-05,-2.8831E-05,19.912166,3.642363,0.642363,0.196623,0.00196623,0.000917661,0.000009177,0.195705339,0.001957053,0,0.196623,-0.927085,0.00897,3,5.5202,0,3,83.7154,0,-1.6,0
23,44958.41941,22.536413,58674354,2.785544,0.078967,0.073374,2.863117,1.526479,-0.921409,-0.927178,6.09143E-05,5.7864E-05,3.05026E-06,19.912166,4.033432,1.033432,0.200634,0.00200634,0.001476331,0.000014763,0.199157669,0.001991577,0,0.200634,-0.924377,0.00926,3,5.52,0,3,83.7154,0,-1.6,0
24,44958.41942,23.536413,58674355,2.749381,0.07931,0.073477,2.747846,1.526479,-0.922118,-0.927704,5.20929E-05,5.55344E-05,-3.44153E-06,19.912166,3.914541,0.914541,0.200158,0.00200158,0.001306487,0.000013065,0.198851513,0.001988515,0,0.200158,-0.924727,0.00894,3,5.52,0,3,83.7154,0,-1.6,0
25,44958.41943,24.536413,58674356,2.481844,0.07637,0.070824,2.501316,1.524507,-0.924863,-0.93017,1.48714E-05,5.0552E-05,-3.56805E-05,19.912166,3.549502,0.549502,0.196226,0.00196226,0.000785003,0.00000785,0.195440997,0.00195441,0,0.196226,-0.927592,0.00926,3,5.5198,0,3,83.7154,0,-1.6,0
26,44958.41944,25.536413,58674357,2.600932,0.076916,0.071519,2.696231,1.524507,-0.923314,-0.928625,3.69714E-05,5.44912E-05,-1.75198E-05,19.912166,3.783263,0.783263,0.197953,0.00197953,0.001118947,0.000011189,0.196834053,0.001968341,0,0.197953,-0.926097,0.00952,3,5.5196,0,3,83.7154,0,-1.6,0
27,44958.41946,26.536413,58674358,2.851972,0.079863,0.074026,2.908143,1.526479,-0.920951,-0.926587,6.84071E-05,5.8774E-05,9.63313E-06,19.912166,4.113465,1.113465,0.201487,0.00201487,0.001590664,0.000015907,0.199896336,0.001998963,0,0.201487,-0.923829,0.00909,3,5.5195,0,3,83.7154,0,-1.6,0
28,44958.41947,27.536413,58674359,3.058774,0.082079,0.076199,3.190878,1.530423,-0.917755,-0.923366,0.000114243,6.44881E-05,4.97547E-05,19.912166,4.458899,1.458899,0.205421,0.00205421,0.002084141,0.000020841,0.203336859,0.002033369,0,0.205421,-0.920684,0.00839,3,5.5195,0,3,83.7154,0,-1.6,0
29,44958.41948,28.536413,58674360,3.301334,0.085803,0.079969,3.384056,1.532395,-0.914597,-0.920276,0.000158871,6.83923E-05,9.04791E-05,19.912166,4.772758,1.772758,0.210287,0.00210287,0.002532511,0.000025325,0.207754489,0.002077545,0,0.210287,-0.91755,0.00776,3,5.5195,0,3,83.7154,0,-1.6,0
30,44958.41949,29.536413,58674361,3.213676,0.086224,0.080027,3.209833,1.533382,-0.915283,-0.921229,0.000147164,6.48712E-05,8.22931E-05,19.912166,4.583512,1.583512,0.209793,0.00209793,0.00226216,0.000022622,0.20753084,0.002075308,0,0.209793,-0.91807,0.00683,3,5.5195,0,3,83.7154,0,-1.6,0
31,44958.4195,30.536413,58674362,2.958649,0.083681,0.077708,3.000099,1.532395,-0.917364,-0.923234,0.000117979,6.06325E-05,5.73461E-05,19.912166,4.251477,1.251477,0.20656,0.0020656,0.001787824,0.000017878,0.204772176,0.002047722,0,0.20656,-0.920237,0.00637,3,5.5193,0,3,83.7154,0,-1.6,0
32,44958.41951,31.536413,58674363,3.120969,0.084375,0.078606,3.208015,1.532395,-0.915908,-0.921558,0.00014035,6.48345E-05,7.55155E-05,19.912166,4.500474,1.500474,0.208295,0.00208295,0.002143534,0.000021435,0.206151466,0.002061515,0,0.208295,-0.918876,0.0064,3,5.5191,0,3,83.7154,0,-1.6,0
33,44958.41953,32.536413,58674364,3.399909,0.088247,0.082082,3.411444,1.535354,-0.912662,-0.918994,0.00018185,6.89458E-05,0.000112904,19.912166,4.883152,1.883152,0.213008,0.00213008,0.002690217,0.000026902,0.210317783,0.002103178,0,0.213008,-0.915767,0.00616,3,5.5191,0,3,83.7154,0,-1.6,0
34,44958.41954,33.536413,58674365,2.870672,0.082539,0.076837,3.022453,1.529437,-0.917592,-0.922971,0.000118229,6.10842E-05,5.71443E-05,19.912166,4.177844,1.177844,0.205613,0.00205613,0.001682634,0.000016826,0.203930366,0.002039304,0,0.205613,-0.92073,0.00602,3,5.519,0,3,83.7154,0,-1.6,0
35,44958.41955,34.536413,58674366,3.357379,0.087525,0.081399,3.394474,1.534368,-0.913309,-0.91952,0.000173471,6.86028E-05,0.000104869,19.912166,4.814852,1.814852,0.212189,0.00212189,0.002592646,0.000025926,0.209596354,0.002095964,0,0.212189,-0.916333,0.00613,3,5.5179,0,3,83.7154,0,-1.6,0
36,44958.41956,35.536413,58674367,3.225021,0.086995,0.080637,3.228222,1.533382,-0.914555,-0.920769,0.00015565,6.52429E-05,9.04071E-05,19.912166,4.620623,1.620623,0.210964,0.00210964,0.002315176,0.000023152,0.208648824,0.002086488,0,0.210964,-0.917405,4.76786,3,5.4581,0,3,83.7154,0,-1.6,0
37,44958.41957,36.536413,58674368,2.929612,0.083349,0.077412,3.014069,1.531409,-0.917522,-0.923267,0.000116614,6.09148E-05,5.56995E-05,19.912166,4.241563,1.241563,0.206174,0.00206174,0.001773661,0.000017737,0.204400339,0.002044003,0,0.206174,-0.920516,2.96138,3,5.3938,0,3,83.7154,0,-1.6,0
38,44958.41958,37.536413,58674369,3.239418,0.085565,0.079746,3.349836,1.532395,-0.91453,-0.92044,0.000158179,6.77007E-05,9.04779E-05,19.912166,4.709664,1.709664,0.210219,0.00210219,0.002442377,0.000024424,0.207776623,0.002077766,0,0.210219,-0.917562,2.50845,3,5.3503,0,3,83.7154,0,-1.6,0
